"Transition","BayesFactor"
"Dera.Ghazi.Khan.to.Gujrat",7.77597432842231
"Dera.Ghazi.Khan.to.Hirat",0.584425405357399
"Dera.Ghazi.Khan.to.Kabul",0.609453671047788
"Dera.Ghazi.Khan.to.Karachi",1.05017774055057
"Dera.Ghazi.Khan.to.Kermanshah",0.91530325951609
"Dera.Ghazi.Khan.to.Multan",7.833380637896
"Dera.Ghazi.Khan.to.Quetta",0.975704150049196
"Dera.Ghazi.Khan.to.Rahim.Yar.Khan",6.64217059277011
"Dera.Ghazi.Khan.to.Shiraz",0.881679569529744
"Dera.Ghazi.Khan.to.Sukkur",0.852591803309032
"Dera.Ghazi.Khan.to.Tehran",0.975704150049196
"Dera.Ghazi.Khan.to.Turbat",0.409438211459949
"Gujrat.to.Dera.Ghazi.Khan",4.97986151876847
"Gujrat.to.Hirat",1.33377409831758
"Gujrat.to.Kabul",1.6208624967915
"Gujrat.to.Karachi",2.84962216736143
"Gujrat.to.Kermanshah",2.34131304275591
"Gujrat.to.Multan",4.39959901540081
"Gujrat.to.Quetta",2.16088406528028
"Gujrat.to.Rahim.Yar.Khan",5.04261931134049
"Gujrat.to.Shiraz",2.15910389319574
"Gujrat.to.Sukkur",2.13245774321808
"Gujrat.to.Tehran",2.09885714703545
"Gujrat.to.Turbat",1.23883437589931
"Hirat.to.Dera.Ghazi.Khan",0.355807524240204
"Hirat.to.Gujrat",0.54845877419675
"Hirat.to.Kabul",10.0411707856464
"Hirat.to.Karachi",0.5858131021683
"Hirat.to.Kermanshah",2.30666000880924
"Hirat.to.Multan",0.35047148587605
"Hirat.to.Quetta",0.851141064000927
"Hirat.to.Rahim.Yar.Khan",0.393297212034351
"Hirat.to.Shiraz",1.54260438115679
"Hirat.to.Sukkur",0.587201123359008
"Hirat.to.Tehran",2.33765703920266
"Hirat.to.Turbat",0.174497199927487
"Kabul.to.Dera.Ghazi.Khan",0.76043811748364
"Kabul.to.Gujrat",1.35104771112294
"Kabul.to.Hirat",2.99672453761221
"Kabul.to.Karachi",1.95230097273062
"Kabul.to.Kermanshah",3.922801391172
"Kabul.to.Multan",1.09227932096853
"Kabul.to.Quetta",2.50788830851904
"Kabul.to.Rahim.Yar.Khan",1.06067627210411
"Kabul.to.Shiraz",3.59959697336667
"Kabul.to.Sukkur",1.48774309359898
"Kabul.to.Tehran",4.68571828055215
"Kabul.to.Turbat",2.08299972103558
"Karachi.to.Dera.Ghazi.Khan",1.25739804634963
"Karachi.to.Gujrat",2.52852712136301
"Karachi.to.Hirat",0.634587665154612
"Karachi.to.Kabul",1.35576690372497
"Karachi.to.Kermanshah",1.77523626373874
"Karachi.to.Multan",1.09227932096853
"Karachi.to.Quetta",3.74499122544642
"Karachi.to.Rahim.Yar.Khan",1.05467492493325
"Karachi.to.Shiraz",1.69012552725483
"Karachi.to.Sukkur",3.886450381383
"Karachi.to.Tehran",1.52803648190349
"Karachi.to.Turbat",2.17514242518044
"Kermanshah.to.Dera.Ghazi.Khan",1.35262038391675
"Kermanshah.to.Gujrat",1.70008095744743
"Kermanshah.to.Hirat",1.3636400596889
"Kermanshah.to.Kabul",2.79474869342645
"Kermanshah.to.Karachi",2.24148248234904
"Kermanshah.to.Multan",1.17582086340686
"Kermanshah.to.Quetta",2.41669580228917
"Kermanshah.to.Rahim.Yar.Khan",1.39998320830278
"Kermanshah.to.Shiraz",4.00292951997328
"Kermanshah.to.Sukkur",1.573467838264
"Kermanshah.to.Tehran",3.96390498720031
"Kermanshah.to.Turbat",2.40007703251006
"Multan.to.Dera.Ghazi.Khan",4.31287568852327
"Multan.to.Gujrat",4.89693086455097
"Multan.to.Hirat",0.977184811608295
"Multan.to.Kabul",1.28223534785032
"Multan.to.Karachi",1.97477208137406
"Multan.to.Kermanshah",1.92818630565263
"Multan.to.Quetta",1.73671522197575
"Multan.to.Rahim.Yar.Khan",5.00072712662265
"Multan.to.Shiraz",1.73003908543379
"Multan.to.Sukkur",1.44770223342373
"Multan.to.Tehran",1.61922238516773
"Multan.to.Turbat",1.59630449773814
"Quetta.to.Dera.Ghazi.Khan",1.48453056329121
"Quetta.to.Gujrat",2.45005467953913
"Quetta.to.Hirat",1.35734075103166
"Quetta.to.Kabul",2.30666000880924
"Quetta.to.Karachi",4.93310876668716
"Quetta.to.Kermanshah",2.59271198381031
"Quetta.to.Multan",1.31967621610706
"Quetta.to.Rahim.Yar.Khan",1.67026037474961
"Quetta.to.Shiraz",3.14486912770442
"Quetta.to.Sukkur",3.79856837442093
"Quetta.to.Tehran",2.33582977274453
"Quetta.to.Turbat",2.96266058913628
"Rahim.Yar.Khan.to.Dera.Ghazi.Khan",5.2823362709814
"Rahim.Yar.Khan.to.Gujrat",3.5020662320202
"Rahim.Yar.Khan.to.Hirat",0.93880342695781
"Rahim.Yar.Khan.to.Kabul",1.06818616659373
"Rahim.Yar.Khan.to.Karachi",1.58161449060333
"Rahim.Yar.Khan.to.Kermanshah",1.35576690372497
"Rahim.Yar.Khan.to.Multan",3.6719408889885
"Rahim.Yar.Khan.to.Quetta",1.54098409067867
"Rahim.Yar.Khan.to.Shiraz",1.42379794509841
"Rahim.Yar.Khan.to.Sukkur",0.91530325951609
"Rahim.Yar.Khan.to.Tehran",1.55882982127145
"Rahim.Yar.Khan.to.Turbat",0.767587224224866
"Shiraz.to.Dera.Ghazi.Khan",1.286903292734
"Shiraz.to.Gujrat",1.87510083372018
"Shiraz.to.Hirat",1.53612567330033
"Shiraz.to.Kabul",2.31211982257487
"Shiraz.to.Karachi",2.27037296260071
"Shiraz.to.Kermanshah",3.56477237303597
"Shiraz.to.Multan",1.15749761440794
"Shiraz.to.Quetta",3.00476326077616
"Shiraz.to.Rahim.Yar.Khan",1.36521586744297
"Shiraz.to.Sukkur",1.73671522197575
"Shiraz.to.Tehran",4.17280031698508
"Shiraz.to.Turbat",1.97650378741673
"Sukkur.to.Dera.Ghazi.Khan",1.62414397060071
"Sukkur.to.Gujrat",2.00949232293119
"Sukkur.to.Hirat",1.17887998415997
"Sukkur.to.Kabul",1.65705068528061
"Sukkur.to.Karachi",4.44819649169298
"Sukkur.to.Kermanshah",1.88705057169668
"Sukkur.to.Multan",1.45888835675488
"Sukkur.to.Quetta",3.89098475442958
"Sukkur.to.Rahim.Yar.Khan",1.40473901570334
"Sukkur.to.Shiraz",2.15910389319574
"Sukkur.to.Tehran",1.87680661203571
"Sukkur.to.Turbat",3.09175433876244
"Tehran.to.Dera.Ghazi.Khan",1.44929904907359
"Tehran.to.Gujrat",2.05840713690687
"Tehran.to.Hirat",1.41267328771661
"Tehran.to.Kabul",3.42708785616008
"Tehran.to.Karachi",2.45191271211317
"Tehran.to.Kermanshah",4.16104503606482
"Tehran.to.Multan",1.39839873091311
"Tehran.to.Quetta",2.54357598967435
"Tehran.to.Rahim.Yar.Khan",1.46689048113492
"Tehran.to.Shiraz",3.40155565885774
"Tehran.to.Sukkur",1.45569031723092
"Tehran.to.Turbat",1.91787831305228
"Turbat.to.Dera.Ghazi.Khan",0.15512915160202
"Turbat.to.Gujrat",0.234303425449252
"Turbat.to.Hirat",0.0783069655154599
"Turbat.to.Kabul",0.454056798743039
"Turbat.to.Karachi",6.95445602893435
"Turbat.to.Kermanshah",0.367831515701476
"Turbat.to.Multan",0.297378816816057
"Turbat.to.Quetta",2.86932360023434
"Turbat.to.Rahim.Yar.Khan",0.146113106418596
"Turbat.to.Shiraz",0.49354896445777
"Turbat.to.Sukkur",4.61321458413645
"Turbat.to.Tehran",0.422923152005116
