"filteredrate","filteredrate.1","filteredrate.2","filteredrate.3","filteredrate.4","filteredrate.5","filteredrate.6","filteredrate.7","filteredrate.8","filteredrate.9","filteredrate.10","filteredrate.11","filteredrate.12","filteredrate.13","filteredrate.14","filteredrate.15","filteredrate.16","filteredrate.17","filteredrate.18"
0,0,1.259978914,3.281539306,0,0,0.708693108,0,0,0,0,4.988460468,0,0,0,0,0,0.118368626,0
0,0,0,2.562926339,2.131671052,0,2.323304229,0,0,0,0,5.043843194,0,0,0,0,0,0.081602234,0
0,0,0,0.939777671,0.805980793,0,0.931057602,0,0,0,0,4.609052421,0,0,0,0,0,0.043256072,0
0,0,0,0.61127981,0.818987034,0,1.160259769,0,0.097713625,0,0,3.294890673,0,0,0,0,0,0.155365655,0
2.138765746,0,0,1.192714635,1.554810034,0,1.551623921,0,0.111346736,0,0,2.98235675,0,0,0,0,0,0.103846262,0
1.79511593,0,0,1.264505777,1.122585524,0,3.024979346,0.506306088,0.1415482,0,0,2.879748802,0,0,0,0,0,0.063595794,0
0,0,0,1.405230832,0.957498639,0,1.91883563,0,0.083699823,0,0,2.086600252,0,0,0,0,0,0.345092595,0
0,0,0,1.009785883,1.697124631,0,1.699749578,0,0.097600296,0,0,2.682301658,0,0,0,0,0,0.26286585,0
0.545570283,0.338235269,0,0.746048844,1.473758806,0,0.872397458,0,0.169032312,0,0,2.230111738,0,0,0,0,0,0.311470633,0
0.543537649,0.440339301,0,1.27375811,0,0,1.089172861,0,0,0,0,1.669520399,0,0,0,0,0,0.578132242,0
0,0.646399378,0,1.843729996,0,0,1.024310999,0,0,0,0,1.492623885,0,0,0,0,0,0.575087357,0
0,0.753528576,0,2.982785191,0,0,1.076416587,0,0,0,0,1.333622973,0,0,0,0,0,0.393728761,0
0,0.902864564,0,2.907779059,0,0,0.86400845,0,0,0,0,1.68703228,0,0,0,0,0,0.364563298,0
0,1.452385303,0,2.038948454,0,0,0.582894136,0,0,0,0,1.88489552,0,0,0,0,0,0.459151273,0
0,1.479350723,0,2.655271878,0,0,0.86148844,1.29939985,0,0,1.763090304,0.890851703,0,0,0,0,0,0.32694219,0
0,1.365169776,0,0.656076171,0,0,0.901089256,1.232039394,0,0,2.117402527,1.396731166,0,0.114565703,0,0,0,0.374909056,0
0,1.597661568,0,2.080909502,0,0,1.815717633,0.917905296,0,0,3.714537023,2.123955127,0,0,0,0,0,0.213046264,0
0,1.052180793,0,1.288376002,0,0,1.00761987,1.1992952,0,0,2.082213625,1.167389324,0,0,0,0,0,0.118199376,0
0,0.658486952,0,3.150029496,0,0,1.029741767,1.192121226,0,0,2.076950807,0.886901251,0,0,0,0.656796683,0.564259046,0.18042073,0
